,Name,Price,Make,Model,Fuel Type,Odometer,Colour,Engine Size ( in Litres),Transmission,Body Type,Manufacturing Year,County,Owners,Doors,Tax Expiry,NCT Expiry,Link
0,NISSAN JUKE,"€8,500",NISSAN,JUKE,Diesel,"138,960",Brown,1.5,Manual,Saloon,2022,Galway,3,5,Dec-2022,Sep-2024,http://www.cars.ie/used-cars/NISSAN-JUKE-0-Galway-1735398
1,FORD FOCUS,"€10,995",FORD,FOCUS,Diesel,"240,983",Blue,1.6,Manual,Hatchback,2015,Donegal,-,4,Sep-2022,May-2023,http://www.cars.ie/used-cars/FORD-FOCUS-2015-Donegal-1735441
2,TOYOTA PRIUS,"€19,490",TOYOTA,PRIUS,Petrol,"119,011",Silver,1.8,Automatic,Hatchback,2017,Dublin,1,5,-,-,http://www.cars.ie/used-cars/TOYOTA-PRIUS-2017-Dublin-1735677
3,MITSUBISHI OUTLANDER,"€34,950",MITSUBISHI,OUTLANDER,Diesel,"55,255",Brown,2.2,Manual,SUV,2019,Kildare,1,4,Dec-2022,Jan-2023,http://www.cars.ie/used-cars/MITSUBISHI-OUTLANDER-2019-Kildare-1735525
4,BMW X5,"€52,995",BMW,X5,Petrol,"85,295",Black,2.0,Automatic,SUV,2018,Mayo,1,5,Jun-2023,Jun-2024,http://www.cars.ie/used-cars/BMW-X5-2018-Mayo-1735440
5,FORD TRANSIT,"€20,500",FORD,TRANSIT,Diesel,"77,998",White,2.0,Manual,Van,2018,Dublin,1,3,Jul-2023,-,http://www.cars.ie/used-cars/FORD-TRANSIT-2018-Dublin-1735711
6,FORD TRANSIT,POA,FORD,TRANSIT,Diesel,"209,346",White,2.2,Manual,Van,2015,Dublin,1,3,-,Jan-2023,http://www.cars.ie/used-cars/FORD-TRANSIT-2015-Dublin-1735516
7,TOYOTA LANDCRUISER,"€53,895",TOYOTA,LANDCRUISER,Diesel,"117,079",Red,2.8,Automatic,SUV,2017,Mayo,1,4,Feb-2022,Mar-2022,http://www.cars.ie/used-cars/TOYOTA-LANDCRUISER-2017-Mayo-1735763
8,TOYOTA PRIUS,POA,TOYOTA,PRIUS,Petrol,"118,288",Brown,1.8,Automatic,MPV,2016,Dublin,1,5,-,-,http://www.cars.ie/used-cars/TOYOTA-PRIUS-2016-Dublin-1735771
9,TOYOTA PRIUS,POA,TOYOTA,PRIUS,Petrol,"126,600",Silver,1.8,Automatic,Hatchback,2017,Dublin,1,5,-,-,http://www.cars.ie/used-cars/TOYOTA-PRIUS-2017-Dublin-1735769
10,PEUGEOT 5008,"€11,950",PEUGEOT,5008,Diesel,"118,995",Grey,1.6,Manual,MPV,2014,Kildare,2,4,Feb-2023,Feb-2024,http://www.cars.ie/used-cars/PEUGEOT-5008-2014-Kildare-1735501
11,FORD TRANSIT,"€4,877",FORD,TRANSIT,Diesel,"210,999",White,2.2,Manual,Van,2013,Dublin,1,3,Dec-2022,-,http://www.cars.ie/used-cars/FORD-TRANSIT-2013-Dublin-1735491
12,BMW 2 SERIES,"€44,995",BMW,2,Petrol,0,-,1.5,Automatic,Saloon,2022,Westmeath,1,4,Dec-2022,Jan-2026,http://www.cars.ie/used-cars/BMW-2-SERIES-2022-Westmeath-1735680
13,FORD TRANSIT,POA,FORD,TRANSIT,Diesel,"193,291",Yellow,2.2,Manual,Van,2011,Dublin,1,3,-,Mar-2023,http://www.cars.ie/used-cars/FORD-TRANSIT-2011-Dublin-1735515
