,Name,Price,Make,Model,Engine Size,Fuel Type,Odometer,Transmission,Body Type,Manufacturing Year,County,Doors,Color,Owners,Tax Expiry,NCT Expiry,URL
0,VOLKSWAGEN POLO,"€14,900",VOLKSWAGEN,POLO,1.0,Petrol,"110,000",Manual,Hatchback,2019,Louth,5,Red,2,Jan-2023,Feb-2023,http://www.cars.ie/used-cars/VOLKSWAGEN-POLO-2019-Louth-1736593
1,PORSCHE TAYCAN,POA,PORSCHE,TAYCAN,1.0,Other,"30,505",Automatic,Saloon,2021,Antrim,4,Red,1,-,-,http://www.cars.ie/used-cars/PORSCHE-TAYCAN-2021-Antrim-1736591
2,RENAULT MEGANE,POA,RENAULT,MEGANE,1.6,Diesel,"52,246",Manual,Hatchback,2017,Antrim,5,Black,-,-,-,http://www.cars.ie/used-cars/RENAULT-MEGANE-2017-Antrim-1736547
3,FORD FIESTA,"€24,600",FORD,FIESTA,1.0,Petrol,999,Manual,Hatchback,2022,Cork,5,-,-,-,-,http://www.cars.ie/used-cars/FORD-FIESTA-2022-Cork-1736281
4,FORD FIESTA,"€24,600",FORD,FIESTA,1.0,Petrol,999,Manual,Hatchback,2022,Cork,5,-,-,-,-,http://www.cars.ie/used-cars/FORD-FIESTA-2022-Cork-1736280
5,FORD ECOSPORT,"€14,900",FORD,ECOSPORT,1.5,Diesel,"104,499",Manual,SUV,2017,Cork,-,White,1,Dec-2022,Aug-2023,http://www.cars.ie/used-cars/FORD-ECOSPORT-2017-Cork-1736279
6,VOLKSWAGEN CADDY,POA,VOLKSWAGEN,CADDY,2.0,Diesel,14,Automatic,Van,2022,Donegal,-,Grey,-,-,-,http://www.cars.ie/used-cars/VOLKSWAGEN-CADDY-2022-Donegal-1736356
7,VOLKSWAGEN T-ROC,POA,VOLKSWAGEN,T-ROC,2.0,Diesel,14,Manual,SUV,2022,Donegal,-,Grey,-,-,-,http://www.cars.ie/used-cars/VOLKSWAGEN-T-ROC-2022-Donegal-1736278
8,VOLKSWAGEN T-ROC,POA,VOLKSWAGEN,T-ROC,2.0,Diesel,14,Manual,SUV,2022,Donegal,-,Grey,-,-,-,http://www.cars.ie/used-cars/VOLKSWAGEN-T-ROC-2022-Donegal-1736277
9,VOLKSWAGEN T-ROC,POA,VOLKSWAGEN,T-ROC,2.0,Diesel,14,Manual,SUV,2022,Donegal,-,Grey,-,-,-,http://www.cars.ie/used-cars/VOLKSWAGEN-T-ROC-2022-Donegal-1736276
10,VOLKSWAGEN GOLF,POA,VOLKSWAGEN,GOLF,1.2,Petrol,"69,713",Manual,Hatchback,2017,Cork,5,White,2,Jan-2023,Feb-2023,http://www.cars.ie/used-cars/VOLKSWAGEN-GOLF-2017-Cork-1736274
11,VOLKSWAGEN GOLF,POA,VOLKSWAGEN,GOLF,1.6,Diesel,"134,204",Manual,Hatchback,2016,Cork,5,Silver,1,Mar-2023,Jul-2024,http://www.cars.ie/used-cars/VOLKSWAGEN-GOLF-2016-Cork-1736275
12,VOLKSWAGEN PASSAT,POA,VOLKSWAGEN,PASSAT,2.0,Diesel,"59,483",Manual,Saloon,2020,Laois,4,Red,1,Sep-2022,Sep-2024,http://www.cars.ie/used-cars/VOLKSWAGEN-PASSAT-2020-Laois-1736272
13,SEAT LEON,"€14,950",SEAT,LEON,1.6,Diesel,0,Manual,Estate,2017,Cork,5,White,1,Sep-2022,Jul-2023,http://www.cars.ie/used-cars/SEAT-LEON-2017-Cork-1736273
14,AUDI A4,"€19,950",AUDI,A4,2.0,Diesel,"83,375",Manual,Estate,2015,Dublin,5,Silver,3,Jan-2023,Mar-2023,http://www.cars.ie/used-cars/AUDI-A4-2015-Dublin-1736204
