,header,footer,price,link
0,MERCEDES-BENZ 220,2005 E SERIES CDI AVANTGARDE 5DR A,"€1,250",www.cars.ie/used-cars/MERCEDES-BENZ-E220-2005-Dublin-1616696
1,RENAULT CLIO,2005 2 1.2 AUTHENTIQUE-WARRANTY OPTIONAL-NCT TILL 2024 INCLUSIVE-FULLY SERVICED-TRADE IN-TAXED 31-11-2022,"€1,650",www.cars.ie/used-cars/RENAULT-CLIO-2005-Waterford-1723262
2,RENAULT MODUS,"2005 1.2 16V DYNAMICS-INSURANCE ARRANGED 50% LESS-LOW MILES 64,902!-TAXED 11-2022-DELIVERY ARRANGED-NEW NCT 01-23-WARRANTY AVAILABLE-SERVICED-EXCEPTIONAL CONDITION THROUGHOUT!","€1,650",www.cars.ie/used-cars/RENAULT-MODUS-2005-Waterford-1719431
3,RENAULT CLIO,2019 (192) IV DYNAMIQUE NAV TCE ,"€14,395",www.cars.ie/used-cars/RENAULT-CLIO-2019-Donegal-1724710
4,NISSAN QASHQAI,2019 SV & SAFETY PACK 1.3DCT AUTO. RETAIL PRICE €28950 LESS 2K SCRAPPAGE €26950,"€26,950",www.cars.ie/used-cars/NISSAN-QASHQAI-2019-Louth-1724722
5,AUDI A7,2019 50 3.0TDI 286PS S-LINE QUATTRO ,"€59,995",www.cars.ie/used-cars/AUDI-A7-2019-Dublin-1724955
6,BMW X5,2014 M-SPORT XDRIVE 30D F15 ,"€37,995",www.cars.ie/used-cars/BMW-X5-2014-Dublin-1724956
7,MAZDA CX-3,2016 1.5 TD SPORT ** FULL LEATHER INTERIOR ** HEATED SEATS ** HEADS UP DISPLAY ** BOSE HIFI SYSTEM ** XENONS **,"€14,995",www.cars.ie/used-cars/MAZDA-CX-3-2016-Dublin-1724524
8,RENAULT CAPTUR,2018 DYNAMIQUE NAV DCI 90 PH 4DR,"€16,495",www.cars.ie/used-cars/RENAULT-CAPTUR-2018-Galway-1724947
9,BMW 5 SERIES,2018 530E M SPORT,"€29,900",www.cars.ie/used-cars/BMW-5-SERIES-2018-Dublin-1724523
10,MERCEDES-BENZ E CLASS,2016 AMG NIGHT EDITION ,"€22,950",www.cars.ie/used-cars/MERCEDES-BENZ-E-CLASS-2016-Dublin-1724962
11,HYUNDAI I20,2014 ACTIVE,"€8,950",www.cars.ie/used-cars/HYUNDAI-I20-2014-Dublin-1724965
12,SSANGYONG TIVOLI,2016 TD SE,"€10,650",www.cars.ie/used-cars/SSANGYONG-TIVOLI-2016-Dublin-1724969
13,HYUNDAI I10,2012 ACTIVE,"€6,250",www.cars.ie/used-cars/HYUNDAI-I10-2012-Dublin-1724964
14,SKODA SUPERB,2018 STYLE 2.0 TDI 150BHP DSG 4DR AUTO,"€27,950",www.cars.ie/used-cars/SKODA-SUPERB-2018-Cork-1724988
15,FORD FIESTA,2016 ZETEC 1.25 60PS M5 5DR MCA 4DR,"€12,950",www.cars.ie/used-cars/FORD-FIESTA-2016-Cork-1724981
